account_number,date,therms,iou,datenum
"4GY9LD","12/30/08",,"PGE",17896
"4GY9LD","1/29/09",62,"PGE",17926
"4GY9LD","3/2/09",82,"PGE",17958
"4GY9LD","4/1/09",61,"PGE",17988
"4GY9LD","4/30/09",27,"PGE",18017
"4GY9LD","6/1/09",21,"PGE",18049
"4GY9LD","6/30/09",18,"PGE",18078
"4GY9LD","7/30/09",18,"PGE",18108
"4GY9LD","8/31/09",19,"PGE",18140
"4GY9LD","9/29/09",16,"PGE",18169
"4GY9LD","10/29/09",15,"PGE",18199
"4GY9LD","12/1/09",45,"PGE",18232
"4GY9LD","12/30/09",82,"PGE",18261
"4GY9LD","1/31/10",85,"PGE",18293
"4GY9LD","3/2/10",63,"PGE",18323
"4GY9LD","4/1/10",44,"PGE",18353
"4GY9LD","5/2/10",36,"PGE",18384
"4GY9LD","6/1/10",21,"PGE",18414
"4GY9LD","6/30/10",15,"PGE",18443
"4GY9LD","8/1/10",18,"PGE",18475
"4GY9LD","8/31/10",16,"PGE",18505
"4GY9LD","9/30/10",15,"PGE",18535
"4GY9LD","10/31/10",18,"PGE",18566
"4GY9LD","12/1/10",56,"PGE",18597
"4GY9LD","1/2/11",71,"PGE",18629
"4GY9LD","1/31/11",75,"PGE",18658
"4GY9LD","3/2/11",81,"PGE",18688
"4GY9LD","3/31/11",51,"PGE",18717
"4GY9LD","5/2/11",30,"PGE",18749
"4GY9LD","6/1/11",21,"PGE",18779
"4GY9LD","7/1/11",11,"PGE",18809
"4GY9LD","8/1/11",9,"PGE",18840
"4GY9LD","8/31/11",10,"PGE",18870
"4GY9LD","10/2/11",6,"PGE",18902
"4GY9LD","10/30/11",9,"PGE",18930
"4GY9LD","11/30/11",46,"PGE",18961
"4GY9LD","12/29/11",90,"PGE",18990
"4GY9LD","1/29/12",89,"PGE",19021
"4GY9LD","2/29/12",70,"PGE",19052
"4GY9LD","3/29/12",55,"PGE",19081
"4GY9LD","4/29/12",30,"PGE",19112
"4GY9LD","5/29/12",11,"PGE",19142
"4GY9LD","6/28/12",9,"PGE",19172
"4GY9LD","7/30/12",9,"PGE",19204
"4GY9LD","8/28/12",7,"PGE",19233
"4GY9LD","9/27/12",9,"PGE",19263
"4GY9LD","10/28/12",10,"PGE",19294
"4GY9LD","11/28/12",38,"PGE",19325
"4GY9LD","12/30/12",70,"PGE",19357
"4GY9LD","1/29/13",94,"PGE",19387
"4GY9LD","2/28/13",70,"PGE",19417
"4GY9LD","3/30/13",37,"PGE",19447
"6033367454","1/19/09",108,"SDGE",17916
"6033367454","2/18/09",85,"SDGE",17946
"6033367454","3/19/09",69,"SDGE",17975
"6033367454","4/20/09",64,"SDGE",18007
"6033367454","5/19/09",37,"SDGE",18036
"6033367454","6/18/09",39,"SDGE",18066
"6033367454","7/20/09",21,"SDGE",18098
"6033367454","8/18/09",18,"SDGE",18127
"6033367454","9/17/09",17,"SDGE",18157
"6033367454","10/16/09",25,"SDGE",18186
"6033367454","11/17/09",48,"SDGE",18218
"6033367454","12/17/09",79,"SDGE",18248
"6033367454","1/19/10",102,"SDGE",18281
"6033367454","2/18/10",80,"SDGE",18311
"6033367454","3/19/10",77,"SDGE",18340
"6033367454","4/19/10",58,"SDGE",18371
"6033367454","5/19/10",54,"SDGE",18401
"6033367454","6/18/10",37,"SDGE",18431
"6033367454","7/20/10",27,"SDGE",18463
"6033367454","8/18/10",19,"SDGE",18492
"6033367454","9/20/10",28,"SDGE",18525
"6033367454","10/19/10",34,"SDGE",18554
"6033367454","11/17/10",39,"SDGE",18583
"6033367454","12/17/10",106,"SDGE",18613
"6033367454","1/19/11",128,"SDGE",18646
"6033367454","2/17/11",95,"SDGE",18675
"6033367454","3/21/11",102,"SDGE",18707
"6033367454","4/19/11",76,"SDGE",18736
"6033367454","5/19/11",57,"SDGE",18766
"6033367454","6/20/11",47,"SDGE",18798
"6033367454","7/20/11",21,"SDGE",18828
"6033367454","8/18/11",17,"SDGE",18857
"6033367454","9/19/11",20,"SDGE",18889
"6033367454","10/18/11",24,"SDGE",18918
"6033367454","11/16/11",52,"SDGE",18947
"6033367454","12/16/11",105,"SDGE",18977
"6033367454","1/18/12",109,"SDGE",19010
"6033367454","2/16/12",99,"SDGE",19039
"6033367454","3/19/12",94,"SDGE",19071
"6033367454","4/18/12",75,"SDGE",19101
"6033367454","5/17/12",44,"SDGE",19130
"6033367454","6/18/12",31,"SDGE",19162
"6033367454","7/18/12",12,"SDGE",19192
"6033367454","8/16/12",10,"SDGE",19221
"6033367454","9/17/12",11,"SDGE",19253
"6033367454","10/16/12",10,"SDGE",19282
"6033367454","11/14/12",20,"SDGE",19311
"6033367454","12/17/12",51,"SDGE",19344
"6033367454","1/17/13",87,"SDGE",19375
"6033367454","2/15/13",70,"SDGE",19404
"6033367454","3/19/13",72,"SDGE",19436
"6383593286","1/27/09",49,"SDGE",17924
"6383593286","2/26/09",60,"SDGE",17954
"6383593286","3/27/09",47,"SDGE",17983
"6383593286","4/28/09",39,"SDGE",18015
"6383593286","5/28/09",18,"SDGE",18045
"6383593286","6/26/09",12,"SDGE",18074
"6383593286","7/28/09",11,"SDGE",18106
"6383593286","8/26/09",9,"SDGE",18135
"6383593286","9/25/09",9,"SDGE",18165
"6383593286","10/26/09",15,"SDGE",18196
"6383593286","11/25/09",26,"SDGE",18226
"6383593286","12/28/09",52,"SDGE",18259
"6383593286","1/27/10",46,"SDGE",18289
